	Filename	FileExtension	PrintImageMatching	ResolutionUnit	ExifOffset	ImageDescription	Make	Model	Software	Orientation	DateTime	YCbCrPositioning	XResolution	YResolution	ExifVersion	ComponentsConfiguration	CompressedBitsPerPixel	DateTimeOriginal	DateTimeDigitized	BrightnessValue	ExposureBiasValue	MaxApertureValue	MeteringMode	LightSource	Flash	FocalLength	UserComment	ColorSpace	ExifImageWidth	SceneCaptureType	ExifImageHeight	Contrast	Saturation	Sharpness	FileSource	ExposureTime	ExifInteroperabilityOffset	FNumber	SceneType	ExposureProgram	CustomRendered	ISOSpeedRatings	ExposureMode	FlashPixVersion	SensitivityType	WhiteBalance	RecommendedExposureIndex	LensSpecification	LensModel	DigitalZoomRatio	FocalLengthIn35mmFilm
10	014	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:02:21 15:45:37	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:02:21 15:45:37	2017:02:21 15:45:37	7.49765625	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.005	38090	5.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
11	015	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:02:21 12:40:21	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	2.0	2017:02:21 12:40:21	2017:02:21 12:40:21	7.50546875	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.0125	38090	8.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
12	016	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:02:21 15:33:50	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:02:21 15:33:50	2017:02:21 15:33:50	7.728125	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.005	38090	5.6	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
13	018	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:02:21 15:45:27	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:02:21 15:45:27	2017:02:21 15:45:27	7.30625	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.00625	38090	4.5	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
14	019	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:02:21 13:01:07	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	4.0	2017:02:21 13:01:07	2017:02:21 13:01:07	6.43125	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.00625	38090	4.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
15	021	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:02:21 15:32:27	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:02:21 15:32:27	2017:02:21 15:32:27	7.634375	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.005	38090	5.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
16	022	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:06:11 13:08:37	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:06:11 13:08:37	2017:06:11 13:08:37	10.95859375	0.0	2.96875	5	0	24	16.0	b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.003125	38154	10.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
17	023	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:02:21 12:50:18	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:02:21 12:50:18	2017:02:21 12:50:18	6.59921875	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.00625	38090	4.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
18	026	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:06:11 12:30:52	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:06:11 12:30:52	2017:06:11 12:30:52	9.665625	0.0	2.96875	5	0	24	16.0	b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.0125	38154	13.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
19	028	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:06:11 12:23:04	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:06:11 12:23:04	2017:06:11 12:23:04	11.41171875	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.003125	38090	11.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
20	031	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:06:11 13:11:21	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:06:11 13:11:21	2017:06:11 13:11:21	9.8296875	0.0	2.96875	5	0	24	16.0	b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.0125	38154	13.0	b'\x01'	2	0	100	0	b'0100'	2	0	100	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
21	035	jpg	"b'PrintIM\x000300\x00\x00\x03\x00\x02\x00\x01\x00\x00\x00\x03\x00""\x00\x00\x00\x01\x01\x00\x00\x00\x00\t\x11\x00\x00\x10\'\x00\x00\x0b\x0f\x00\x00\x10\'\x00\x00\x97\x05\x00\x00\x10\'\x00\x00\xb0\x08\x00\x00\x10\'\x00\x00\x01\x1c\x00\x00\x10\'\x00\x00^\x02\x00\x00\x10\'\x00\x00\x8b\x00\x00\x00\x10\'\x00\x00\xcb\x03\x00\x00\x10\'\x00\x00\xe5\x1b\x00\x00\x10\'\x00\x00'"	2	364	                               	SONY	ILCE-6000	ILCE-6000 v2.00	1	2017:02:21 13:13:06	2	350.0	350.0	b'0230'	b'\x01\x02\x03\x00'	3.0	2017:02:21 13:13:06	2017:02:21 13:13:06	6.65390625	0.0	2.9708536585365852	5	0	24	16.0	b'ASCII\x00\x00\x00'	1	6000	0	4000	0	0	0	b'\x03'	0.00625	38090	4.0	b'\x01'	2	0	125	0	b'0100'	2	0	125	(16.0, 16.0, 2.8, 2.8)	E 16mm F2.8	1.0	24
